Band,Category,Question
Band 3A,Self evaluation Accountability & Ownership,"How often do you take responsibility for both your own and your team’s outcomes?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you acknowledge mistakes openly and work to correct them?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you follow through fully on your commitments without needing reminders?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you ensure your own deadlines don’t block team progress?"
Band 3A,Self evaluation Accountability & Ownership,"How often do teammates rely on you as someone who always delivers?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you remind the team of upcoming deliverables?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you support peers to ensure commitments are met?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you escalate blockers early so they don’t delay the team?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you help clarify team responsibilities in group discussions?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you reinforce collective accountability during meetings?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you identify risks early before they become issues?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you alert the team about potential challenges that may affect delivery?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you suggest preventive measures to avoid problems?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you adjust team plans quickly when risks materialize?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you support teammates in mitigating their risks?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you check your team’s outputs to ensure quality standards are met?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you encourage peers to maintain accuracy and completeness in their work?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you take initiative to address recurring errors within the team?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you reinforce the mindset that “done” means fully complete, not partially?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you help your team maintain consistency in quality under time pressure?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you step up during difficult phases to take extra accountability?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you mentor or support juniors in developing ownership skills?"
Band 3A,Self evaluation Accountability & Ownership,"How often do you admit mistakes without shifting blame to others?"
