Band,Category,Question
Band 2B,Self evalauation Accountability & Ownership,"How often do you complete assigned tasks fully without leaving loose ends?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you verify task requirements with the stakeholder before execution to ensure clarity?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you take ownership of mistakes and immediately share corrective actions?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you provide timely progress updates without reminders?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you ensure deliverables meet agreed standards before closure?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you deliver on commitments even when faced with challenges?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you communicate early when a timeline or deliverable is at risk?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you ensure dependencies on your tasks are cleared for others to proceed?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you maintain visibility of your work using shared trackers or dashboards?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you reinforce reliability by completing both visible and behind-the-scenes tasks consistently?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you verify accuracy and completeness before submission?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you apply feedback from earlier reviews to improve your next deliverable?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you initiate small improvements that enhance quality across repeated tasks?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you maintain documentation that supports traceability and clarity for others?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you model a “right-first-time” attitude that influences peers’ approach to quality?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you identify risks or blockers early and take ownership to address them?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you suggest process improvements that make delivery smoother for the team?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you show initiative in handling small issues independently within scope?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you escalate systemic issues promptly and responsibly?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you help peers anticipate or mitigate recurring delivery challenges?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you uphold team reliability by ensuring your output doesn’t delay others?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you coordinate with peers to ensure accountability across linked tasks?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you maintain transparency on progress, risks, and blockers for stakeholders?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you take ownership of shared goals rather than only personal tasks?"
Band 2B,Self evalauation Accountability & Ownership,"How often do you set an example of responsible behavior in hybrid or virtual collaboration?"
Band 2B,Self evalauation Accountability & Ownership,"Do I provide visibility of my progress and challenges to all stakeholders?"
Band 2B,Self evalauation Accountability & Ownership,"Do I take initiative to solve or escalate issues without waiting for reminders?"
Band 2B,Self evalauation Accountability & Ownership,"How often do I check whether my output enables others to succeed?"
Band 2B,Self evalauation Accountability & Ownership,"Do I apply feedback consistently to improve quality?"
Band 2B,Self evalauation Accountability & Ownership,"What small habit can I build this month to strengthen reliability?"
Band 2B,Self evalauation Adaptability & Learning Agility,"Do I connect changes to business outcomes?"
Band 2B,Self evalauation Adaptability & Learning Agility,"Do I re-prioritize by impact?"
Band 2B,Self evalauation Adaptability & Learning Agility,"How quickly did I apply my latest learning?"
Band 2B,Self evalauation Adaptability & Learning Agility,"Did I run a review and share lessons?"
Band 2B,Self evalauation Adaptability & Learning Agility,"Did I help others stay focused and motivated?"
Band 2B,Self evaluation Teamwork & Collaboration,"Do I balance contribution so everyone feels included, not just vocal members?"
Band 2B,Self evaluation Teamwork & Collaboration,"Do I mentor new peers to help them integrate faster?"
Band 2B,Self evaluation Teamwork & Collaboration,"How do I handle conflict early without waiting for escalation?"
Band 2B,Self evaluation Teamwork & Collaboration,"Do I recognize and celebrate team success as much as individual effort?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"When assigned a problem, how often do you restate it in your own words to confirm shared understanding?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you validate that the defined problem connects to project or business goals?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you separate surface symptoms from root causes using available data?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you gather and cross-check facts from multiple reliable sources before forming conclusions?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"Before starting work, how often do you confirm that all stakeholders agree on the success criteria?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you break large or vague issues into smaller, actionable components?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you apply simple analytical frameworks (fishbone, 5 Whys, impact matrix) to structure thinking?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you compare at least two probable causes or solution paths before choosing one?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you evaluate effort vs impact vs risk to prioritize actions?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you collaborate with peers or cross-functional experts to validate your reasoning?"
