Band,Category,Question
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When major project priorities shift, how often do you help align timelines between multiple teams?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you anticipate how a change in one team may affect another and communicate early?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When people feel uncertain about shifting goals, how often do you support them calmly and constructively?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you keep momentum when inter-team dependencies are disrupted?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When senior direction changes, how often do you restate the new priorities clearly for everyone involved?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you seek ideas or learnings from teams outside your domain?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you share lessons learned from your project that help other groups avoid the same errors?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you translate key project learnings into simple team checklists or playbooks?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When a process improves, how often do you broadcast that success so other teams can adopt it?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you encourage others to share new learnings in cross-team retrospectives?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you modify your approach when a solution from one team fails elsewhere?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When priorities clash between projects, how often do you help re-sequence work collaboratively?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you apply insights from unrelated past experiences to a new situation?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you balance following process with creative experimentation?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When plans shift mid-execution, how often do you refocus everyone on achievable next steps?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When something fails across teams, how often do you acknowledge it openly and share takeaways?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you turn a setback into a group learning opportunity?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When feedback reveals a gap, how often do you adapt your plan immediately?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you document what didn’t work and circulate it as a “lessons learned” note?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When others struggle after a setback, how often do you help them re-focus and move forward?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you show curiosity about expertise outside your area?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do you volunteer for projects beyond your comfort zone?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When guiding others, how often do you coach them on staying open-minded during change?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"When major transitions occur, how often do you remain composed and optimistic?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"How often do other teams view you as a dependable, resilient learner who adapts gracefully?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"Do I help others stay productive during change?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"Do I learn from failures and share those lessons openly?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"Do I show resilience when plans from other teams shift?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"Do I seek learning from teams outside my own?"
Band 3B,Self evalatuaion Adaptability & Learning Agility,"Do I help document and standardize team lessons so others benefit beyond my group?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you translate organizational priorities into shared functional goals for all teams?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you clarify inter-team dependencies before delivery starts?"
Band 3B,Self evaluation Accountability & Ownership,"When priorities conflict, how often do you facilitate a transparent decision on trade-offs?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you re-communicate goal changes so every team knows its impact?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you ensure success measures for each team connect to the functional scorecard?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you delegate accountability along with authority and context?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you coach team leads to own results instead of tasks?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you trust leaders to manage risks without micromanagement?"
Band 3B,Self evaluation Accountability & Ownership,"When errors occur, how often do you focus on learning instead of blame?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you encourage peer-level accountability between teams?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you use shared dashboards to show progress across teams?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you run open review sessions to surface blockers early?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you escalate risks with evidence and impact analysis?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you validate that status updates are complete and accurate?"
Band 3B,Self evaluation Accountability & Ownership,"How often do you keep cross-team dependencies visible in planning and reviews?"
