Band,Category,Question
Band 2A,Self evalaution Communication,"In group discussions, how often do you summarize key points so everyone aligns before moving on?"
Band 2A,Self evalaution Communication,"How often do you adjust your communication style depending on whether you’re speaking to peers, managers, or stakeholders?"
Band 2A,Self evalaution Communication,"When you notice confusion, how often do you restate the idea in simpler words for the group?"
Band 2A,Self evalaution Communication,"How often do you guide discussions back on track if they drift away from the goal?"
Band 2A,Self evalaution Communication,"How often do you take initiative to document and share next steps with the team after a discussion?"
Band 2A,Self evalaution Communication,"How often do you ask questions that help the whole team get clarity, not just yourself?"
Band 2A,Self evalaution Communication,"How often do you probe deeper by asking “what’s the impact” or “what problem are we solving”?"
Band 2A,Self evalaution Communication,"How often do you summarize another person’s idea to confirm everyone understood correctly?"
Band 2A,Self evalaution Communication,"How often do you step in to clarify when two people are talking past each other?"
Band 2A,Self evalaution Communication,"How often do you check that action points are understood by all, not only you?"
Band 2A,Self evalaution Communication,"How often do you notice when quieter teammates are left out and invite them to share?"
Band 2A,Self evalaution Communication,"When you disagree, how often do you listen fully before sharing your counter-view?"
Band 2A,Self evalaution Communication,"How often do you encourage balanced airtime in meetings so no one dominates?"
Band 2A,Self evalaution Communication,"How often do you paraphrase a peer’s input to show active listening and ensure clarity?"
Band 2A,Self evalaution Communication,"How often do you ensure remote or hybrid colleagues are equally included in conversations?"
Band 2A,Self evalaution Communication,"In group emails or chats, how often do you ensure everyone needed is looped in?"
Band 2A,Self evalaution Communication,"How often do you use clear subject lines and bullet points so group emails are easy to follow?"
Band 2A,Self evalaution Communication,"How often do you summarize long chat/email threads for peers who join late?"
Band 2A,Self evalaution Communication,"How often do you confirm group decisions or actions digitally instead of replying with vague “ok/yes”?"
Band 2A,Self evalaution Communication,"How often do you share important updates proactively in team channels without being asked?"
Band 2A,Self evalaution Communication,"How often do you express dissenting opinions politely but firmly in group settings?"
Band 2A,Self evalaution Communication,"How often do you give peers constructive feedback that helps them improve?"
Band 2A,Self evalaution Communication,"How often do you thank peers in group settings to reinforce positive behavior?"
Band 2A,Self evalaution Communication,"How often do you confidently present updates on behalf of your team when asked?"
Band 2A,Self evalaution Communication,"How often do you provide feedback in a way that builds trust instead of defensiveness?"
