Band,Competency,Sub_Section,Q.No,Question
Band 3B,Communication,Cross-Team Messaging,1,"""When multiple teams are involved, how often do you ensure your updates reach all groups, not just your own?"""
Band 3B,Communication,Cross-Team Messaging,2,"""When presenting to both technical and non-technical groups, how often do you adapt your language accordingly?"""
Band 3B,Communication,Cross-Team Messaging,3,"""How often do you verify that different teams have the same understanding of a message or update?"""
Band 3B,Communication,Cross-Team Messaging,4,"""How often do you proactively prevent silos by sharing your team’s progress with other groups?"""
Band 3B,Communication,Cross-Team Messaging,5,"""How often do you clarify your team’s role and responsibilities within the larger project/program so others see the big picture?"""
Band 3B,Communication,Persuasion & Influence,6,"""How often do you present ideas in a way that appeals to the needs of multiple teams?"""
Band 3B,Communication,Persuasion & Influence,7,"""How often do you frame benefits in terms of shared outcomes (time saved, conflicts avoided, value created across teams)?"""
Band 3B,Communication,Persuasion & Influence,8,"""How often do you use data/examples to persuade groups who may be hesitant?"""
Band 3B,Communication,Persuasion & Influence,9,"""How often do you build alignment by encouraging agreement among diverse stakeholders?"""
Band 3B,Communication,Persuasion & Influence,10,"""How often do you respond to respectful pushback from other teams with openness instead of defensiveness?"""
Band 3B,Communication,Conflict Resolution & Alignment,11,"""When communication breaks down between teams, how often do you step in to clarify misunderstandings?"""
Band 3B,Communication,Conflict Resolution & Alignment,12,"""How often do you help teams with different goals realign toward a shared outcome?"""
Band 3B,Communication,Conflict Resolution & Alignment,13,"""How often do you keep a respectful tone even during heated discussions between groups?"""
Band 3B,Communication,Conflict Resolution & Alignment,14,"""How often do you summarize inter-team agreements in writing to ensure long-term alignment?"""
Band 3B,Communication,Conflict Resolution & Alignment,15,"""How often do you facilitate 'bridge-building' conversations between departments that rarely speak to each other?"""
Band 3B,Communication,Digital & Hybrid Communication,16,"""How often do you use digital platforms to make cross-team dependencies and progress visible to all stakeholders?"""
Band 3B,Communication,Digital & Hybrid Communication,17,"""How often do you ensure remote teams are actively included and heard during multi-team syncs?"""
Band 3B,Communication,Digital & Hybrid Communication,18,"""How often do you establish clear digital communication norms (e.g., tagging, status updates) for cross-team projects?"""
Band 3B,Communication,Digital & Hybrid Communication,19,"""How often do you simplify complex digital threads for senior stakeholders to ensure they have the right context?"""
Band 3B,Communication,Digital & Hybrid Communication,20,"""How often do you use visual tools or dashboards to communicate project health across distributed groups?"""
Band 3B,Communication,Role-Modeling Communication,21,"""How often do you mentor others on how to frame their messages for different audiences?"""
Band 3B,Communication,Role-Modeling Communication,22,"""How often do you provide constructive feedback to peers on their cross-team communication impact?"""
Band 3B,Communication,Role-Modeling Communication,23,"""How often do you model transparent communication by sharing both successes and risks with all affected teams?"""
Band 3B,Communication,Role-Modeling Communication,24,"""How often do you publicly acknowledge and celebrate the collaborative efforts of multiple teams?"""
Band 3B,Communication,Role-Modeling Communication,25,"""How often do you actively seek feedback on how your communication is perceived by teams outside your own?"""
Band 3B,Accountability & Ownership,Functional Goal Alignment,1,"""How often do you translate organizational priorities into shared functional goals for all teams?"""
Band 3B,Accountability & Ownership,Functional Goal Alignment,2,"""How often do you clarify inter-team dependencies before delivery starts?"""
Band 3B,Accountability & Ownership,Functional Goal Alignment,3,"""When priorities conflict, how often do you facilitate a transparent decision on trade-offs?"""
Band 3B,Accountability & Ownership,Functional Goal Alignment,4,"""How often do you re-communicate goal changes so every team knows its impact?"""
Band 3B,Accountability & Ownership,Functional Goal Alignment,5,"""How often do you ensure success measures for each team connect to the functional scorecard?"""
Band 3B,Accountability & Ownership,Delegation & Empowerment,6,"""How often do you delegate accountability along with authority and context?"""
Band 3B,Accountability & Ownership,Delegation & Empowerment,7,"""How often do you coach team leads to own results instead of tasks?"""
Band 3B,Accountability & Ownership,Delegation & Empowerment,8,"""How often do you trust leaders to manage risks without micromanagement?"""
Band 3B,Accountability & Ownership,Delegation & Empowerment,9,"""When errors occur, how often do you focus on learning instead of blame?"""
Band 3B,Accountability & Ownership,Delegation & Empowerment,10,"""How often do you encourage peer-level accountability between teams?"""
Band 3B,Accountability & Ownership,Cross-Team Tracking & Transparency,11,"""How often do you use shared dashboards to show progress across teams?"""
Band 3B,Accountability & Ownership,Cross-Team Tracking & Transparency,12,"""How often do you run open review sessions to surface blockers early?"""
Band 3B,Accountability & Ownership,Cross-Team Tracking & Transparency,13,"""How often do you escalate risks with evidence and impact analysis?"""
Band 3B,Accountability & Ownership,Cross-Team Tracking & Transparency,14,"""How often do you validate that status updates are complete and accurate?"""
Band 3B,Accountability & Ownership,Cross-Team Tracking & Transparency,15,"""How often do you keep cross-team dependencies visible in planning and reviews?"""
Band 3B,Accountability & Ownership,Ownership Under Pressure,16,"""When resources shift, how often do you re-prioritize while keeping stakeholders aligned?"""
Band 3B,Accountability & Ownership,Ownership Under Pressure,17,"""How often do you take personal ownership of failures that happen between functional boundaries?"""
Band 3B,Accountability & Ownership,Ownership Under Pressure,18,"""How often do you maintain high delivery standards even during peak demand or crises?"""
Band 3B,Accountability & Ownership,Ownership Under Pressure,19,"""How often do you stand by team decisions even when they are challenged by external groups?"""
Band 3B,Accountability & Ownership,Ownership Under Pressure,20,"""How often do you ensure that cross-functional projects have a single, clear 'owner' for final results?"""
Band 3B,Accountability & Ownership,Culture of Trust & Ethics,21,"""How often do you reward transparency when a team admits a mistake or delay early?"""
Band 3B,Accountability & Ownership,Culture of Trust & Ethics,22,"""How often do you model ethical reliability by delivering on promises to other functions?"""
Band 3B,Accountability & Ownership,Culture of Trust & Ethics,23,"""How often do you address 'blame-shifting' behavior immediately when it occurs between teams?"""
Band 3B,Accountability & Ownership,Culture of Trust & Ethics,24,"""How often do you mentor others on the long-term value of functional integrity over short-term wins?"""
Band 3B,Accountability & Ownership,Culture of Trust & Ethics,25,"""How often do you help build systems that make it easy for people to take ownership (e.g., RACI charts)?"""
