Band,Competency,Sub_Section,Q.No,Question
Band 2B,Accountability & Ownership,Task Ownership,1,"""How often do you complete assigned tasks fully without leaving loose ends?"" "
Band 2B,Accountability & Ownership,Task Ownership,2,"""How often do you verify task requirements with the stakeholder before execution to ensure clarity?"" "
Band 2B,Accountability & Ownership,Task Ownership,3,"""How often do you take ownership of mistakes and immediately share corrective actions?"" "
Band 2B,Accountability & Ownership,Task Ownership,4,"""How often do you provide timely progress updates without reminders?"" "
Band 2B,Accountability & Ownership,Task Ownership,5,"""How often do you ensure deliverables meet agreed standards before closure?"" "
Band 2B,Accountability & Ownership,Reliability & Follow-Through,6,"""How often do you deliver on commitments even when faced with challenges?"" "
Band 2B,Accountability & Ownership,Reliability & Follow-Through,7,"""How often do you communicate early when a timeline or deliverable is at risk?"" "
Band 2B,Accountability & Ownership,Reliability & Follow-Through,8,"""How often do you ensure dependencies on your tasks are cleared for others to proceed?"" "
Band 2B,Accountability & Ownership,Reliability & Follow-Through,9,"""How often do you maintain visibility of your work using shared trackers or dashboards?"" "
Band 2B,Accountability & Ownership,Reliability & Follow-Through,10,"""How often do you reinforce reliability by completing both visible and behind-the-scenes tasks consistently?"" "
Band 2B,Accountability & Ownership,Quality & Standards,11,"""How often do you verify accuracy and completeness before submission?"" "
Band 2B,Accountability & Ownership,Quality & Standards,12,"""How often do you apply feedback from earlier reviews to improve your next deliverable?"" "
Band 2B,Accountability & Ownership,Quality & Standards,13,"""How often do you initiate small improvements that enhance quality across repeated tasks?"" "
Band 2B,Accountability & Ownership,Quality & Standards,14,"""How often do you maintain documentation that supports traceability and clarity for others?"" "
Band 2B,Accountability & Ownership,Quality & Standards,15,"""How often do you model a 'right-first-time' attitude that reduces rework?"" "
Band 2B,Accountability & Ownership,Proactive Initiative,16,"""How often do you identify potential blockers before they impact the timeline?"" "
Band 2B,Accountability & Ownership,Proactive Initiative,17,"""How often do you suggest solutions when raising a problem to your manager?"" "
Band 2B,Accountability & Ownership,Proactive Initiative,18,"""How often do you volunteer for tasks that contribute to team goals but are outside your core scope?"" "
Band 2B,Accountability & Ownership,Proactive Initiative,19,"""How often do you take the lead in resolving a task that has no clear owner?"" "
Band 2B,Accountability & Ownership,Proactive Initiative,20,"""How often do you research better ways to do things to stay ahead of requirements?"" "
Band 2B,Accountability & Ownership,Stakeholder Trust & Impact,21,"""How often do you confirm that your output has enabled the next person in the workflow?"" "
Band 2B,Accountability & Ownership,Stakeholder Trust & Impact,22,"""How often do you manage expectations by providing clear 'Yes' or 'No' based on capacity?"" "
Band 2B,Accountability & Ownership,Stakeholder Trust & Impact,23,"""How often do you demonstrate consistency in performance across different types of tasks?"" "
Band 2B,Accountability & Ownership,Stakeholder Trust & Impact,24,"""How often do you act as a point of contact for tasks you have previously completed?"" "
Band 2B,Accountability & Ownership,Stakeholder Trust & Impact,25,"""How often do you take feedback as an opportunity to improve team-level delivery?"" "
Band 2B,Adaptability & Learning Agility,Openness to Change,1,"""Stay composed; re-plan with team"" "
Band 2B,Adaptability & Learning Agility,Openness to Change,2,"""Adopt new tools/processes; help others"" "
Band 2B,Adaptability & Learning Agility,Openness to Change,3,"""Link change to project/business impact"" "
Band 2B,Adaptability & Learning Agility,Openness to Change,4,"""Clarify new expectations; align approach"" "
Band 2B,Adaptability & Learning Agility,Openness to Change,5,"""Encourage growth mindset during change"" "
Band 2B,Adaptability & Learning Agility,Prioritization & Flexibility,6,"""Re-prioritize by impact/deadlines"" "
Band 2B,Adaptability & Learning Agility,Prioritization & Flexibility,7,"""Maintain quality while context-switching"" "
Band 2B,Adaptability & Learning Agility,Prioritization & Flexibility,8,"""Negotiate/escalate conflicting deadlines"" "
Band 2B,Adaptability & Learning Agility,Prioritization & Flexibility,9,"""Adapt style to different teams/stakeholders"" "
Band 2B,Adaptability & Learning Agility,Prioritization & Flexibility,10,"""Adjust routine for unexpected needs"" "
Band 2B,Adaptability & Learning Agility,Learning Agility,11,"""Learn/apply new skills in live work"" "
Band 2B,Adaptability & Learning Agility,Learning Agility,12,"""Transfer lessons across assignments"" "
Band 2B,Adaptability & Learning Agility,Learning Agility,13,"""Measure time-to-application (velocity)"" "
Band 2B,Adaptability & Learning Agility,Learning Agility,14,"""Document/share key insights/shortcuts"" "
Band 2B,Adaptability & Learning Agility,Learning Agility,15,"""Seek feedback on impact of learning"" "
Band 2B,Adaptability & Learning Agility,Resilience & Solution Focus,16,"""Find workable alternate path with team"" "
Band 2B,Adaptability & Learning Agility,Resilience & Solution Focus,17,"""Recover quickly from mistakes"" "
Band 2B,Adaptability & Learning Agility,Resilience & Solution Focus,18,"""Keep communication constructive under pressure"" "
Band 2B,Adaptability & Learning Agility,Resilience & Solution Focus,19,"""Balance short-term fixes with prevention"" "
Band 2B,Adaptability & Learning Agility,Resilience & Solution Focus,20,"""Model calm; stabilize team morale"" "
Band 2B,Adaptability & Learning Agility,Team-Level Agility & CI,21,"""Explain priority changes & the 'why'"" "
Band 2B,Adaptability & Learning Agility,Team-Level Agility & CI,22,"""Run quick post-change reviews/retro"" "
Band 2B,Adaptability & Learning Agility,Team-Level Agility & CI,23,"""Share templates/tips to help others adapt"" "
Band 2B,Adaptability & Learning Agility,Team-Level Agility & CI,24,"""Support teammates who struggle with change"" "
Band 2B,Adaptability & Learning Agility,Team-Level Agility & CI,25,"""Celebrate small wins to sustain momentum"" "
Band 2B,Communication,Audience Awareness,1,"""When updating your peer, how often do you explain steps rather than just the result?"" "
Band 2B,Communication,Audience Awareness,2,"""When speaking to a manager, how often do you summarize outcomes and next steps clearly?"" "
Band 2B,Communication,Audience Awareness,3,"""Before explaining, how often do you check if your audience already knows the background?"" "
Band 2B,Communication,Audience Awareness,4,"""How often do you use analogies or examples to make complex ideas simple?"" "
Band 2B,Communication,Audience Awareness,5,"""In cross-team updates, how often do you replace jargon with business-friendly terms?"" "
Band 2B,Communication,Proactive Communication,6,"""How often do you share progress without being asked?"" "
Band 2B,Communication,Proactive Communication,7,"""When a deadline nears, how often do you remind others in advance?"" "
Band 2B,Communication,Proactive Communication,8,"""How often do you flag risks early before they become issues?"" "
Band 2B,Communication,Proactive Communication,9,"""When a new teammate joins, how often do you brief them so they can catch up quickly?"" "
Band 2B,Communication,Proactive Communication,10,"""How often do you send short structured updates to keep everyone aligned?"" "
Band 2B,Communication,Persuasion & Framing Basics,11,"""When suggesting ideas, how often do you present two or more options with pros / cons?"" "
Band 2B,Communication,Persuasion & Framing Basics,12,"""How often do you frame ideas in terms of value or impact for others?"" "
Band 2B,Communication,Persuasion & Framing Basics,13,"""In discussions, how often do you express disagreement respectfully and firmly?"" "
Band 2B,Communication,Persuasion & Framing Basics,14,"""How often do you adapt tone or phrasing to match the level of urgency?"" "
Band 2B,Communication,Persuasion & Framing Basics,15,"""How often do you use data or specific examples to support your point?"" "
Band 2B,Communication,Digital & Hybrid Communication,16,"""How often do you use appropriate channels (e.g., Slack for quick, Email for formal)?"" "
