Band,Competency,Sub_Section,Q.No,Question
Band 2A,Accountability & Ownership,Meeting Commitments Reliably,1,"""When given a deadline, how often do you complete tasks on or before the agreed time?"" "
Band 2A,Accountability & Ownership,Meeting Commitments Reliably,2,"""How often do you update your team proactively if your progress changes?"" "
Band 2A,Accountability & Ownership,Meeting Commitments Reliably,3,"""How often do you confirm your deliverables meet agreed standards before submission?"" "
Band 2A,Accountability & Ownership,Meeting Commitments Reliably,4,"""How often do you make your commitments visible on shared trackers/boards?"" "
Band 2A,Accountability & Ownership,Meeting Commitments Reliably,5,"""When delays appear likely, how often do you communicate immediately instead of waiting?"" "
Band 2A,Accountability & Ownership,Delivering Quality Outcomes,6,"""How often do you double-check your work for errors before sharing?"" "
Band 2A,Accountability & Ownership,Delivering Quality Outcomes,7,"""How often do you balance speed vs quality to deliver both reliably?"" "
Band 2A,Accountability & Ownership,Delivering Quality Outcomes,8,"""How often do you seek peer/manager feedback if you are unsure of quality expectations?"" "
Band 2A,Accountability & Ownership,Delivering Quality Outcomes,9,"""When errors are found, how often do you correct them quickly without defensiveness?"" "
Band 2A,Accountability & Ownership,Delivering Quality Outcomes,10,"""How often do you deliver consistent results across repeated tasks?"" "
Band 2A,Accountability & Ownership,Proactive Responsibility,11,"""How often do you clarify task expectations before starting?"" "
Band 2A,Accountability & Ownership,Proactive Responsibility,12,"""How often do you anticipate risks like delays or blockers and flag them early?"" "
Band 2A,Accountability & Ownership,Proactive Responsibility,13,"""How often do you volunteer for small additional responsibilities beyond your core tasks?"" "
Band 2A,Accountability & Ownership,Proactive Responsibility,14,"""When mistakes occur, how often do you acknowledge them openly and share corrective actions?"" "
Band 2A,Accountability & Ownership,Proactive Responsibility,15,"""How often do you support peers when their tasks depend on your work?"" "
Band 2A,Accountability & Ownership,Accountability in Teams,16,"""How often do you ensure your part of a team project is always ready for the next person?"" "
Band 2A,Accountability & Ownership,Accountability in Teams,17,"""How often do you help others maintain their deadlines to ensure team success?"" "
Band 2A,Accountability & Ownership,Accountability in Teams,18,"""How often do you follow through on commitments made during team meetings?"" "
Band 2A,Accountability & Ownership,Accountability in Teams,19,"""When a team goal is missed, how often do you reflect on your part in the outcome?"" "
Band 2A,Accountability & Ownership,Accountability in Teams,20,"""How often do you represent your team’s reliability by being prepared for all check-ins?"" "
Band 2A,Accountability & Ownership,Growth Through Ownership,21,"""How often do you take feedback as a personal responsibility to improve?"" "
