Band,Competency,Sub_Section,Q.No,Question
Band 3A,Communication,Influencing Team Discussions,1,"""When discussions drift, how often do you guide the group back toward clear outcomes?"" "
Band 3A,Communication,Influencing Team Discussions,2,"""How often do you structure conversations as problem → options → decision to create shared clarity?"" "
Band 3A,Communication,Influencing Team Discussions,3,"""How often do you balance airtime so quieter or junior voices are heard equally?"" "
Band 3A,Communication,Influencing Team Discussions,4,"""When disagreements arise, how often do you facilitate constructive dialogue to achieve alignment rather than debate?"" "
Band 3A,Communication,Influencing Team Discussions,5,"""How often do you close meetings by confirming next steps, owners, and deadlines—and ensure everyone is aligned?"" "
Band 3A,Communication,Communication Style & Presence,6,"""How often do you adapt your tone and delivery effectively across formal and informal settings?"" "
Band 3A,Communication,Communication Style & Presence,7,"""When presenting team updates, how often do you use examples or short stories to make the message memorable?"" "
Band 3A,Communication,Communication Style & Presence,8,"""How often do you represent your team’s work confidently with managers or stakeholders?"" "
Band 3A,Communication,Communication Style & Presence,9,"""When under pressure, how often do you maintain composure and communicate with clarity?"" "
Band 3A,Communication,Communication Style & Presence,10,"""How often do you demonstrate professionalism in speech and writing that peers actively model after?"" "
Band 3A,Communication,Persuasion & Influence,11,"""How often do you back your team’s recommendations with data or evidence?"" "
Band 3A,Communication,Persuasion & Influence,12,"""How often do you explain ideas in terms of their value to customers or internal stakeholders?"" "
Band 3A,Communication,Persuasion & Influence,13,"""How often do you build consensus so team actions move forward together?"" "
Band 3A,Communication,Persuasion & Influence,14,"""How often do you handle pushback from others by listening first and then addressing their concerns?"" "
Band 3A,Communication,Persuasion & Influence,15,"""How often do you influence team decisions without relying on formal authority?"" "
Band 3A,Communication,Digital & Hybrid Communication,16,"""How often do you use digital tools (Slack, Jira, Teams) to keep team progress visible and clear?"" "
Band 3A,Communication,Digital & Hybrid Communication,17,"""How often do you ensure remote or distributed team members are included in all key discussions?"" "
Band 3A,Communication,Digital & Hybrid Communication,18,"""How often do you summarize long digital threads into actionable points for the group?"" "
Band 3A,Communication,Digital & Hybrid Communication,19,"""How often do you set clear expectations for response times in your team’s digital communication?"" "
Band 3A,Communication,Digital & Hybrid Communication,20,"""How often do you use video or audio calls when text-based communication leads to confusion?"" "
Band 3A,Communication,Feedback & Role Modeling,21,"""How often do you provide constructive, timely feedback to peers to help them improve?"" "
Band 3A,Communication,Feedback & Role Modeling,22,"""How often do you actively seek feedback on your own communication style?"" "
Band 3A,Communication,Feedback & Role Modeling,23,"""How often do you recognize and celebrate team achievements in group communications?"" "
Band 3A,Communication,Feedback & Role Modeling,24,"""How often do you model transparent communication when sharing team challenges or delays?"" "
Band 3A,Communication,Feedback & Role Modeling,25,"""How often do you mentor junior members on how to communicate more effectively?"" "
Band 3A,Accountability & Ownership,Taking Responsibility,1,"""How often do you take responsibility for both your own and your team’s outcomes?"" "
Band 3A,Accountability & Ownership,Taking Responsibility,2,"""How often do you acknowledge mistakes openly and work to correct them?"" "
Band 3A,Accountability & Ownership,Taking Responsibility,3,"""How often do you follow through fully on your commitments without needing reminders?"" "
Band 3A,Accountability & Ownership,Taking Responsibility,4,"""How often do you ensure your own deadlines don’t block team progress?"" "
Band 3A,Accountability & Ownership,Taking Responsibility,5,"""How often do teammates rely on you as someone who always delivers?"" "
Band 3A,Accountability & Ownership,Team Commitments,6,"""How often do you remind the team of upcoming deliverables?"" "
Band 3A,Accountability & Ownership,Team Commitments,7,"""How often do you support peers to ensure commitments are met?"" "
Band 3A,Accountability & Ownership,Team Commitments,8,"""How often do you escalate blockers early so they don’t delay the team?"" "
Band 3A,Accountability & Ownership,Team Commitments,9,"""How often do you help clarify team responsibilities in group discussions?"" "
Band 3A,Accountability & Ownership,Team Commitments,10,"""How often do you reinforce collective accountability during meetings?"" "
Band 3A,Accountability & Ownership,Proactive Risk Handling,11,"""How often do you identify risks early before they become issues?"" "
Band 3A,Accountability & Ownership,Proactive Risk Handling,12,"""How often do you alert the team about potential challenges that may affect delivery?"" "
Band 3A,Accountability & Ownership,Proactive Risk Handling,13,"""How often do you suggest preventive measures to avoid problems?"" "
Band 3A,Accountability & Ownership,Proactive Risk Handling,14,"""How often do you adjust team plans quickly when risks materialize?"" "
Band 3A,Accountability & Ownership,Proactive Risk Handling,15,"""How often do you support teammates in mitigating their risks?"" "
Band 3A,Accountability & Ownership,Quality & Standards,16,"""How often do you check your team’s outputs to ensure quality standards are met?"" "
Band 3A,Accountability & Ownership,Quality & Standards,17,"""How often do you encourage peers to maintain accuracy and completeness in their work?"" "
Band 3A,Accountability & Ownership,Quality & Standards,18,"""How often do you follow standard processes and ensure the team does the same?"" "
Band 3A,Accountability & Ownership,Quality & Standards,19,"""How often do you propose improvements to quality checks or delivery workflows?"" "
Band 3A,Accountability & Ownership,Quality & Standards,20,"""How often do you ensure that 'good enough' is never the standard for critical deliverables?"" "
Band 3A,Accountability & Ownership,Role-Modeling Ownership,21,"""How often do you demonstrate a 'can-do' attitude during challenging projects?"" "
Band 3A,Accountability & Ownership,Role-Modeling Ownership,22,"""How often do you mentor juniors or peers on the importance of owning their work?"" "
