Band,Competency,Sub_Section,Q.No,Question
Band 4B,Communication,Strategic Messaging & Alignment,1,"""When communicating strategy updates, how often do you explain why a change matters to multiple functions, not just what changes?"" "
Band 4B,Communication,Strategic Messaging & Alignment,2,"""How often do you adapt the same message for both technical and business teams so each understands their role?"" "
Band 4B,Communication,Strategic Messaging & Alignment,3,"""When priorities shift, how often do you highlight trade-offs and help others see the bigger picture?"" "
Band 4B,Communication,Strategic Messaging & Alignment,4,"""How often do you restate vision or end goals when teams lose focus or momentum?"" "
Band 4B,Communication,Strategic Messaging & Alignment,5,"""When working with distributed or client teams, how often do you clarify shared objectives to keep alignment across time zones or channels?"" "
Band 4B,Communication,Cross-Functional Influence,6,"""How often do you re-frame your ideas to address each stakeholder’s unique priorities?"" "
Band 4B,Communication,Cross-Functional Influence,7,"""When two teams disagree, how often do you mediate using shared data rather than opinions?"" "
Band 4B,Communication,Cross-Functional Influence,8,"""How often do you gain consensus without escalation to senior leadership?"" "
Band 4B,Communication,Cross-Functional Influence,9,"""When dependencies span functions, how often do you ensure both sides commit explicitly to timelines?"" "
Band 4B,Communication,Cross-Functional Influence,10,"""After discussions, how often do you document the final decision to prevent confusion later?"" "
Band 4B,Communication,Stakeholder Engagement,11,"""How often do you seek senior feedback before finalizing communication that impacts multiple groups?"" "
Band 4B,Communication,Stakeholder Engagement,12,"""How often do you synthesize feedback themes (not isolated complaints) when presenting to leaders?"" "
Band 4B,Communication,Stakeholder Engagement,13,"""How often do you use storytelling or metaphors to make complex data relatable to non-technical stakeholders?"" "
Band 4B,Communication,Stakeholder Engagement,14,"""How often do you proactively manage client expectations by sharing progress and potential risks early?"" "
Band 4B,Communication,Stakeholder Engagement,15,"""How often do you confirm that external partners (vendors/clients) have the same definition of success as your team?"" "
Band 4B,Communication,Executive Narrative,16,"""How often do you structure executive updates using the ‘Bottom Line Up Front’ (BLUF) approach?"" "
Band 4B,Communication,Executive Narrative,17,"""How often do you link your project updates directly to organizational KPIs (e.g., revenue, NPS)?"" "
Band 4B,Communication,Executive Narrative,18,"""When presenting to leadership, how often do you provide clear 'asks' or 'decisions required'?"" "
Band 4B,Communication,Executive Narrative,19,"""How often do you remain calm and fact-based when your ideas are challenged by senior management?"" "
Band 4B,Communication,Executive Narrative,20,"""How often do you use visual aids (dashboards, charts) that require minimal explanation for busy leaders?"" "
