Band,Competency,Sub_Section,Q.No,Question
Band 1A,Accountability & Ownership,Taking Responsibility,1,"""When assigned a task, how often do you make sure you fully understand it before starting?"" "
Band 1A,Accountability & Ownership,Taking Responsibility,2,"""How often do you complete your tasks on or before the agreed deadline?"" "
Band 1A,Accountability & Ownership,Taking Responsibility,3,"""When you miss a deadline, how often do you take responsibility instead of blaming others?"" "
Band 1A,Accountability & Ownership,Taking Responsibility,4,"""How often do you admit mistakes quickly instead of covering them up?"" "
Band 1A,Accountability & Ownership,Taking Responsibility,5,"""How often do you take action to correct errors without being told?"" "
Band 1A,Accountability & Ownership,Reliability & Consistency,6,"""How often do you complete routine tasks without reminders?"" "
Band 1A,Accountability & Ownership,Reliability & Consistency,7,"""How often do teammates rely on you because you finish what you start?"" "
Band 1A,Accountability & Ownership,Reliability & Consistency,8,"""How often do you follow through on commitments made in meetings?"" "
Band 1A,Accountability & Ownership,Reliability & Consistency,9,"""How often do you maintain accuracy even in small details of your work?"" "
Band 1A,Accountability & Ownership,Reliability & Consistency,10,"""How often do you keep track of your deadlines and deliverables independently?"" "
Band 1A,Accountability & Ownership,Initiative & Proactiveness,11,"""How often do you ask, “What else can I do?” after finishing your work?"" "
Band 1A,Accountability & Ownership,Initiative & Proactiveness,12,"""How often do you anticipate potential issues before they happen?"" "
Band 1A,Accountability & Ownership,Initiative & Proactiveness,13,"""How often do you take small steps to prevent mistakes from recurring?"" "
Band 1A,Accountability & Ownership,Initiative & Proactiveness,14,"""How often do you help resolve issues instead of saying “not my job”?"" "
Band 1A,Accountability & Ownership,Initiative & Proactiveness,15,"""How often do you suggest improvements to make work smoother?"" "
Band 1A,Accountability & Ownership,Ownership in Team Context,16,"""When working in a group task, how often do you take ownership of your part?"" "
Band 1A,Accountability & Ownership,Ownership in Team Context,17,"""How often do you inform the team if you need help to finish your work?"" "
Band 1A,Accountability & Ownership,Ownership in Team Context,18,"""How often do you share your progress with the team so they know where you are?"" "
Band 1A,Accountability & Ownership,Ownership in Team Context,19,"""When the team faces a delay, how often do you help find a way to catch up?"" "
Band 1A,Accountability & Ownership,Ownership in Team Context,20,"""How often do you follow team rules or guidelines without being reminded?"" "
Band 1A,Accountability & Ownership,Goal Focus & Follow-Through,21,"""How often do you check your own work against the task requirements before submitting?"" "
Band 1A,Accountability & Ownership,Goal Focus & Follow-Through,22,"""How often do you keep a personal list or tracker for your daily tasks?"" "
Band 1A,Accountability & Ownership,Goal Focus & Follow-Through,23,"""How often do you follow up on emails or messages that need your response?"" "
Band 1A,Accountability & Ownership,Goal Focus & Follow-Through,24,"""How often do you prioritize tasks based on their importance to the team?"" "
Band 1A,Accountability & Ownership,Goal Focus & Follow-Through,25,"""How often do you take feedback as an opportunity to improve your work habits?"" "
Band 1A,Adaptability & Learning Agility,Openness to Change,1,"""When a task priority changes, how often do you adjust your plan without complaint?"" "
Band 1A,Adaptability & Learning Agility,Openness to Change,2,"""How often do you stay calm when deadlines are shifted suddenly?"" "
Band 1A,Adaptability & Learning Agility,Openness to Change,3,"""When asked to use a different tool or process, how often do you accept the change positively?"" "
Band 1A,Adaptability & Learning Agility,Openness to Change,4,"""How often do you express support for change with a positive attitude rather than saying “this is not how we do things”?"" "
Band 1A,Adaptability & Learning Agility,Openness to Change,5,"""When something unfamiliar is introduced, how often do you try it instead of waiting for others?"" "
Band 1A,Adaptability & Learning Agility,Learning Mindset,6,"""When you don’t know how to do something, how often do you take the initiative to learn it?"" "
Band 1A,Adaptability & Learning Agility,Learning Mindset,7,"""How often do you ask questions to improve your understanding of a new topic?"" "
Band 1A,Adaptability & Learning Agility,Learning Mindset,8,"""How often do you seek feedback from peers or managers to learn?"" "
Band 1A,Adaptability & Learning Agility,Learning Mindset,9,"""When learning a new skill, how often do you practice until you can apply it?"" "
Band 1A,Adaptability & Learning Agility,Learning Mindset,10,"""How often do you look for short tutorials or guides instead of waiting for training?"" "
Band 1A,Adaptability & Learning Agility,Flexibility in Work Style,11,"""How often do you adapt your work style when working with different teammates?"" "
Band 1A,Adaptability & Learning Agility,Flexibility in Work Style,12,"""How often do you adjust your approach when working under a strict deadline?"" "
Band 1A,Adaptability & Learning Agility,Flexibility in Work Style,13,"""How often do you balance between independent work and team collaboration when needed?"" "
Band 1A,Adaptability & Learning Agility,Flexibility in Work Style,14,"""How often do you shift focus quickly when asked to change tasks mid-day?"" "
Band 1A,Adaptability & Learning Agility,Flexibility in Work Style,15,"""How often do you maintain productivity even when your usual environment or routine changes?"" "
Band 1A,Adaptability & Learning Agility,Handling Uncertainty,16,"""When instructions are vague, how often do you ask clarifying questions to move forward?"" "
Band 1A,Adaptability & Learning Agility,Handling Uncertainty,17,"""How often do you stay focused on your work when things are busy or unclear?"" "
Band 1A,Adaptability & Learning Agility,Handling Uncertainty,18,"""When a problem occurs, how often do you look for solutions instead of worrying?"" "
Band 1A,Adaptability & Learning Agility,Handling Uncertainty,19,"""How often do you try new ways to solve a task when the old way doesn’t work?"" "
Band 1A,Adaptability & Learning Agility,Handling Uncertainty,20,"""How often do you admit when you’re confused so the team can help you adjust?"" "
Band 1A,Adaptability & Learning Agility,Continuous Improvement,21,"""How often do you think about how to do a task faster or better next time?"" "
Band 1A,Adaptability & Learning Agility,Continuous Improvement,22,"""How often do you try a new tip or shortcut shared by a teammate?"" "
Band 1A,Adaptability & Learning Agility,Continuous Improvement,23,"""How often do you reflect on your mistakes to avoid making them again?"" "
Band 1A,Adaptability & Learning Agility,Continuous Improvement,24,"""How often do you take notes on what you’ve learned to use in future tasks?"" "
Band 1A,Adaptability & Learning Agility,Continuous Improvement,25,"""How often do you look for ways to improve your daily routine or habits?"" "
Band 1A,Problem Solving & Critical Thinking,Identifying Problems,1,"""When you see an error in your own work, how often do you notice it without being told?"" "
Band 1A,Problem Solving & Critical Thinking,Identifying Problems,2,"""When you notice a recurring issue, how often do you raise it and suggest a possible fix?"" "
Band 1A,Problem Solving & Critical Thinking,Identifying Problems,3,"""How often do you check if the same problem has occurred before?"" "
Band 1A,Problem Solving & Critical Thinking,Identifying Problems,4,"""How often do you confirm you fully understand a problem before starting to fix it?"" "
Band 1A,Problem Solving & Critical Thinking,Identifying Problems,5,"""When you encounter an unexpected issue, how often do you log or note it for future reference?"" "
Band 1A,Problem Solving & Critical Thinking,Information Gathering,6,"""How often do you ask for details before starting a task instead of making assumptions?"" "
Band 1A,Problem Solving & Critical Thinking,Information Gathering,7,"""When facing an error, how often do you check documentation or resources first?"" "
Band 1A,Problem Solving & Critical Thinking,Information Gathering,8,"""How often do you seek input from peers if you don’t understand the issue?"" "
Band 1A,Problem Solving & Critical Thinking,Information Gathering,9,"""How often do you cross-check information from two different sources before acting?"" "
Band 1A,Problem Solving & Critical Thinking,Information Gathering,10,"""When unsure, how often do you clarify the expected outcome before beginning work?"" "
Band 1A,Problem Solving & Critical Thinking,Generating Options,11,"""How often do you think of more than one possible way to solve a problem?"" "
Band 1A,Problem Solving & Critical Thinking,Generating Options,12,"""When your first approach doesn’t work, how often do you try an alternative?"" "
Band 1A,Problem Solving & Critical Thinking,Generating Options,13,"""How often do you suggest small, practical improvements in your work?"" "
Band 1A,Problem Solving & Critical Thinking,Generating Options,14,"""How often do you check if an existing tool or template could solve the issue faster?"" "
Band 1A,Problem Solving & Critical Thinking,Generating Options,15,"""How often do you ask teammates for alternative ideas if you’re stuck?"" "
Band 1A,Problem Solving & Critical Thinking,Choosing & Testing Solutions,16,"""How often do you explain why you chose a certain way to solve a problem?"" "
Band 1A,Problem Solving & Critical Thinking,Choosing & Testing Solutions,17,"""How often do you test your solution on a small scale before applying it fully?"" "
Band 1A,Problem Solving & Critical Thinking,Choosing & Testing Solutions,18,"""How often do you check with your manager or peer before making a big change?"" "
Band 1A,Problem Solving & Critical Thinking,Choosing & Testing Solutions,19,"""When solving an issue, how often do you consider if it will affect someone else’s work?"" "
Band 1A,Problem Solving & Critical Thinking,Choosing & Testing Solutions,20,"""How often do you ensure a solution is complete and not just a quick fix?"" "
Band 1A,Problem Solving & Critical Thinking,Learning from Outcomes,21,"""How often do you check if the problem stayed solved after some time?"" "
Band 1A,Problem Solving & Critical Thinking,Learning from Outcomes,22,"""How often do you tell your teammates about a new fix you found?"" "
Band 1A,Problem Solving & Critical Thinking,Learning from Outcomes,23,"""How often do you reflect on what went well during a problem-solving task?"" "
Band 1A,Problem Solving & Critical Thinking,Learning from Outcomes,24,"""How often do you update your notes or guides after solving a tricky issue?"" "
Band 1A,Problem Solving & Critical Thinking,Learning from Outcomes,25,"""How often do you ask for feedback on whether your solution was effective?"" "
Band 1A,Teamwork & Collaboration,Participation & Contribution,1,"""In stand-ups, how often do you share your updates on time?"" "
Band 1A,Teamwork & Collaboration,Participation & Contribution,2,"""How often do you complete assigned tasks within agreed timelines so the team can proceed?"" "
Band 1A,Teamwork & Collaboration,Participation & Contribution,3,"""How often do you keep teammates informed when your work is done or delayed?"" "
Band 1A,Teamwork & Collaboration,Participation & Contribution,4,"""How often do you actively take part in group discussions instead of staying silent?"" "
Band 1A,Teamwork & Collaboration,Participation & Contribution,5,"""How often do you volunteer for simple tasks that help the team move forward?"" "
Band 1A,Teamwork & Collaboration,Cooperation & Support,6,"""When a teammate asks for help, how often do you support them if you have the capacity?"" "
Band 1A,Teamwork & Collaboration,Cooperation & Support,7,"""How often do you share useful information (e.g., links, templates) without being asked?"" "
Band 1A,Teamwork & Collaboration,Cooperation & Support,8,"""How often do you make adjustments in your work to align with the team’s plan?"" "
Band 1A,Teamwork & Collaboration,Cooperation & Support,9,"""When your task depends on another teammate, how often do you coordinate directly with them?"" "
Band 1A,Teamwork & Collaboration,Cooperation & Support,10,"""How often do you acknowledge teammates’ efforts during group activities?"" "
Band 1A,Teamwork & Collaboration,Respect & Inclusiveness,11,"""How often do you listen attentively when a teammate is speaking?"" "
Band 1A,Teamwork & Collaboration,Respect & Inclusiveness,12,"""How often do you respect teammates’ opinions even when you disagree?"" "
Band 1A,Teamwork & Collaboration,Respect & Inclusiveness,13,"""How often do you avoid interrupting or talking over others in meetings?"" "
Band 1A,Teamwork & Collaboration,Respect & Inclusiveness,14,"""How often do you include quieter teammates in discussions by asking their views?"" "
Band 1A,Teamwork & Collaboration,Respect & Inclusiveness,15,"""How often do you show appreciation to teammates for their contributions?"" "
Band 1A,Teamwork & Collaboration,Hybrid / Remote Collaboration,16,"""How often do you keep your status updated on digital tools (e.g., Slack, Teams)?"" "
Band 1A,Teamwork & Collaboration,Hybrid / Remote Collaboration,17,"""How often do you respond to messages or emails within a reasonable time?"" "
Band 1A,Teamwork & Collaboration,Hybrid / Remote Collaboration,18,"""How often do you join remote calls on time and stay focused?"" "
Band 1A,Teamwork & Collaboration,Hybrid / Remote Collaboration,19,"""When working remotely, how often do you proactively check in with your teammates?"" "
Band 1A,Teamwork & Collaboration,Hybrid / Remote Collaboration,20,"""How often do you use clear and respectful language in digital chats?"" "
Band 1A,Teamwork & Collaboration,Trust & Reliability,21,"""How often do you do what you said you would do in team meetings?"" "
Band 1A,Teamwork & Collaboration,Trust & Reliability,22,"""How often do you admit when you’ve made a mistake that affects the team?"" "
Band 1A,Teamwork & Collaboration,Trust & Reliability,23,"""How often do you avoid speaking negatively about teammates behind their back?"" "
Band 1A,Teamwork & Collaboration,Trust & Reliability,24,"""How often do you support team decisions even if they wasn’t your first choice?"" "
Band 1A,Teamwork & Collaboration,Trust & Reliability,25,"""How often do you build positive relationships by being helpful and friendly?"" "
Band 1A,Communication,Clarity & Expression,1,"""During stand-ups, how often do you share your update in 1–2 clear sentences?"" "
Band 1A,Communication,Clarity & Expression,2,"""When someone doesn’t understand you, how often do you rephrase simply instead of repeating?"" "
Band 1A,Communication,Clarity & Expression,3,"""In meetings, how often do you summarize with an action + owner + deadline before closing?"" "
Band 1A,Communication,Clarity & Expression,4,"""How often do you avoid jargon or slang so everyone follows easily?"" "
Band 1A,Communication,Clarity & Expression,5,"""When you feel nervous, how often do you still complete your update confidently?"" "
